date,location,total_cases,new_cases,total_deaths,population,cases_per_million,MA7,death_rate
2020-05-14,United States,1390746.0,20782.0,84133.0,331002647.0,4201.615946593925,23163.285714285714,0.0604948710979575
2020-05-15,United States,1417889.0,27143.0,85906.0,331002647.0,4283.61831197078,22988.14285714286,0.06058725330403156
2020-05-16,United States,1443397.0,25508.0,87568.0,331002647.0,4360.681139809737,22781.14285714286,0.06066799362891845
2020-05-17,United States,1467884.0,24487.0,88754.0,331002647.0,4434.6594001709,22620.428571428572,0.06046390586722111
2020-05-18,United States,1486757.0,18873.0,89562.0,331002647.0,4491.677071090008,22422.571428571428,0.06023983744485481
2020-05-19,United States,1508598.0,21841.0,90353.0,331002647.0,4557.661437674244,22954.571428571428,0.05989203220473579
2020-05-20,United States,1528568.0,19970.0,91921.0,331002647.0,4617.993281485752,22657.714285714286,0.06013536852792941
2020-05-21,United States,1551853.0,23285.0,93439.0,331002647.0,4688.340150947494,23015.285714285714,0.06021124423511763
2020-05-22,United States,1577287.0,25434.0,94702.0,331002647.0,4765.179415619597,22771.14285714286,0.060041070521724964
2020-05-23,United States,1601434.0,24147.0,96007.0,331002647.0,4838.130493862788,22576.714285714286,0.05995064423510429
2020-05-24,United States,1622670.0,21236.0,97087.0,331002647.0,4902.2870805018065,22112.285714285714,0.05983163551430667
2020-05-25,United States,1643238.0,20568.0,97720.0,331002647.0,4964.425556391397,22354.428571428572,0.0594679529076129
2020-05-26,United States,1662302.0,19064.0,98220.0,331002647.0,5022.020261970896,21957.714285714286,0.05908673634514065
2020-05-27,United States,1681212.0,18910.0,98916.0,331002647.0,5079.149714473431,21806.285714285714,0.058836125366699736
2020-05-28,United States,1699933.0,18721.0,100442.0,331002647.0,5135.7081745633295,21154.285714285714,0.05908585808970118
2020-05-29,United States,1721750.0,21817.0,101617.0,331002647.0,5201.62003417453,20637.571428571428,0.059019602148976336
2020-05-30,United States,1747087.0,25337.0,102836.0,331002647.0,5278.166249830625,20807.571428571428,0.0588614075887463
2020-05-31,United States,1770384.0,23297.0,103781.0,331002647.0,5348.549372778883,21102.0,0.058620615640448626
2020-06-01,United States,1790191.0,19807.0,104383.0,331002647.0,5408.38877339854,20993.285714285714,0.058308303415669054
2020-06-02,United States,1811277.0,21086.0,105147.0,331002647.0,5472.0921914561,21282.14285714286,0.058051308551922205
2020-06-03,United States,1831821.0,20544.0,106181.0,331002647.0,5534.158160372657,21515.571428571428,0.05796472471928207
2020-06-04,United States,1851520.0,19699.0,107175.0,331002647.0,5593.671279613664,21655.285714285714,0.057884872969236084
2020-06-05,United States,1872660.0,21140.0,108211.0,331002647.0,5657.537838360549,21558.571428571428,0.05778464857475463
2020-06-06,United States,1897838.0,25178.0,109143.0,331002647.0,5733.603695320297,21535.85714285714,0.05750912353952234
2020-06-07,United States,1920061.0,22223.0,109802.0,331002647.0,5800.742131225313,21382.428571428572,0.05718672479676427
2020-06-08,United States,1942363.0,22302.0,110514.0,331002647.0,5868.119235916563,21738.85714285714,0.0568966768827454
2020-06-09,United States,1961185.0,18822.0,111007.0,331002647.0,5924.982829517977,21415.428571428572,0.056602003380609174
2020-06-10,United States,1979850.0,18665.0,112006.0,331002647.0,5981.372106670797,21147.0,0.05657297269995202
2020-06-11,United States,2000464.0,20614.0,112924.0,331002647.0,6043.649554258701,21277.714285714286,0.0564489038543058
2020-06-12,United States,2023347.0,22883.0,113820.0,331002647.0,6112.7819319221335,21526.714285714286,0.0562533267897202
2020-06-13,United States,2048986.0,25639.0,114669.0,331002647.0,6190.240526988898,21592.571428571428,0.05596377915710503
2020-06-14,United States,2074526.0,25540.0,115436.0,331002647.0,6267.400030791899,22066.428571428572,0.05564451831406307
2020-06-15,United States,2094069.0,19543.0,115732.0,331002647.0,6326.44185470819,21672.285714285714,0.05526656475980495
2020-06-16,United States,2114026.0,19957.0,116127.0,331002647.0,6386.734423909305,21834.428571428572,0.05493168012124733
2020-06-17,United States,2137731.0,23705.0,116963.0,331002647.0,6458.350165399131,22554.428571428572,0.054713619253311106
2020-06-18,United States,2163290.0,25559.0,117717.0,331002647.0,6535.567070555783,23260.85714285714,0.05441572789593628
2020-06-19,United States,2191052.0,27762.0,118434.0,331002647.0,6619.439511612123,23957.85714285714,0.054053486635643515
2020-06-20,United States,2220961.0,29909.0,119112.0,331002647.0,6709.798305631073,24567.85714285714,0.053630838182210316
2020-06-21,United States,2255119.0,34158.0,119719.0,331002647.0,6812.993855000804,25799.0,0.053087664109964926
2020-06-22,United States,2280912.0,25793.0,119975.0,331002647.0,6890.9177031445315,26691.85714285714,0.05259957420540556
2020-06-23,United States,2312302.0,31390.0,120402.0,331002647.0,6985.750781624414,28325.14285714286,0.052070188063669885
2020-06-24,United States,2347022.0,34720.0,121228.0,331002647.0,7090.644202612676,29898.714285714286,0.05165183794612918
2020-06-25,United States,2381361.0,34339.0,121979.0,331002647.0,7194.3865754040335,31153.0,0.05122238921356317
2020-06-26,United States,2422310.0,40949.0,124416.0,331002647.0,7318.098577018329,33036.857142857145,0.05136254236658396
2020-06-27,United States,2467837.0,45527.0,125039.0,331002647.0,7455.641283738737,35268.0,0.05066744683704799
2020-06-28,United States,2510323.0,42486.0,125539.0,331002647.0,7583.9967527510435,36457.71428571428,0.05000910241431083
2020-06-29,United States,2548996.0,38673.0,125804.0,331002647.0,7700.832676422675,38297.71428571428,0.049354334020139695
2020-06-30,United States,2590552.0,41556.0,126140.0,331002647.0,7826.378500229939,39750.0,0.04869232503342917
2020-07-01,United States,2634432.0,43880.0,127410.0,331002647.0,7958.945415925933,41058.57142857143,0.04836336637271336
